serial,id,division,district,upazilaBangla,2019,2020
175,176,খুলনা,যশোর,কেশবপুর,118.0,0.0
176,177,খুলনা,যশোর,যশোর সদর,194.0,0.0
177,178,খুলনা,যশোর,শার্শা,38.0,0.0
178,179,খুলনা,সাতক্ষীরা,আশাশুনি,21.0,0.0
179,180,খুলনা,সাতক্ষীরা,দেবহাটা,32.0,0.0
180,181,খুলনা,সাতক্ষীরা,কলারোয়া,84.0,0.0
181,182,খুলনা,সাতক্ষীরা,সাতক্ষীরা সদর,385.0,0.0
182,183,খুলনা,সাতক্ষীরা,শ্যামনগর,70.0,0.0
183,184,খুলনা,সাতক্ষীরা,তালা,211.0,0.0
184,185,খুলনা,সাতক্ষীরা,কালিগঞ্জ,116.0,0.0
185,186,খুলনা,মেহেরপুর,মুজিবনগর,20.0,0.0
186,187,খুলনা,মেহেরপুর,মেহেরপুর সদর,24.0,0.0
187,188,খুলনা,মেহেরপুর,গাংনী,50.0,0.0
188,189,খুলনা,নড়াইল,নড়াইল সদর,129.0,0.0
189,190,খুলনা,নড়াইল,লোহাগড়া,65.0,0.0
190,191,খুলনা,নড়াইল,কালিয়া,14.0,0.0
191,192,খুলনা,চুয়াডাঙ্গা,চুয়াডাঙ্গা সদর,62.0,0.0
192,193,খুলনা,চুয়াডাঙ্গা,আলমডাঙ্গা,20.0,0.0
193,194,খুলনা,চুয়াডাঙ্গা,দামুড়হুদা,3.0,0.0
194,195,খুলনা,চুয়াডাঙ্গা,জীবননগর,6.0,0.0
195,196,খুলনা,কুষ্টিয়া,কুষ্টিয়া সদর,92.0,0.0
196,197,খুলনা,কুষ্টিয়া,কুমারখালী,36.0,0.0
197,198,খুলনা,কুষ্টিয়া,খোকসা,6.0,0.0
198,199,খুলনা,কুষ্টিয়া,মিরপুর,694.0,19.0
199,200,খুলনা,কুষ্টিয়া,দৌলতপুর,225.0,0.0
200,201,খুলনা,কুষ্টিয়া,ভেড়ামারা,151.0,0.0
201,202,খুলনা,মাগুরা,শালিখা,39.0,0.0
202,203,খুলনা,মাগুরা,শ্রীপুর,48.0,0.0
203,204,খুলনা,মাগুরা,মাগুরা সদর,136.0,1.0
204,205,খুলনা,মাগুরা,মহম্মদপুর,15.0,0.0
205,206,খুলনা,খুলনা,পাইকগাছা,20.0,0.0
206,207,খুলনা,খুলনা,ফুলতলা,22.0,0.0
207,208,খুলনা,খুলনা,দিঘলিয়া,57.0,0.0
208,209,খুলনা,খুলনা,রূপসা,159.0,0.0
209,210,খুলনা,খুলনা,তেরখাদা,31.0,0.0
210,211,খুলনা,খুলনা,ডুমুরিয়া,43.0,0.0
211,212,খুলনা,খুলনা,বটিয়াঘাটা,0.0,0.0
212,213,খুলনা,খুলনা,দাকোপ,8.0,0.0
213,214,খুলনা,খুলনা,কয়রা,13.0,0.0
214,215,খুলনা,বাগেরহাট,ফকিরহাট,6.0,0.0
215,216,খুলনা,বাগেরহাট,বাগেরহাট সদর,68.0,0.0
216,217,খুলনা,বাগেরহাট,মোল্লাহাট,0.0,0.0
217,218,খুলনা,বাগেরহাট,শরণখোলা,43.0,0.0
218,219,খুলনা,বাগেরহাট,রামপাল,8.0,1.0
219,220,খুলনা,বাগেরহাট,মোড়েলগঞ্জ,3.0,0.0
220,221,খুলনা,বাগেরহাট,কচুয়া,33.0,0.0
221,222,খুলনা,বাগেরহাট,মোংলা,16.0,0.0
222,223,খুলনা,বাগেরহাট,চিতলমারী,13.0,0.0
223,224,খুলনা,ঝিনাইদহ,ঝিনাইদহ সদর,90.0,0.0
224,225,খুলনা,ঝিনাইদহ,শৈলকুপা,16.0,0.0
